Infinitive,прочи́тывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прочи́тывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прочи́тывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прочи́тываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прочи́тывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,прочи́тывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,прочи́тывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,прочи́тываю
2nd Sing,прочи́тываешь
3rd Sing,прочи́тывает
1st Pl,прочи́тываем
2nd Pl,прочи́тываете
3rd Pl,прочи́тывают
Past M,прочи́тывал
Past F,прочи́тывала
Past N,прочи́тывало
Past PL,прочи́тывали
Imp S,прочи́тывай
Imp PL,прочи́тывайте
