Infinitive,провозгласи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,провозгласи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,провозглашённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,провозгласи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,провозгласи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,провозглашу́
2nd Sing,провозгласи́шь
3rd Sing,провозгласи́т
1st Pl,провозгласи́м
2nd Pl,провозгласи́те
3rd Pl,провозглася́т
Past M,провозгласи́л
Past F,провозгласи́ла
Past N,провозгласи́ло
Past PL,провозгласи́ли
Imp S,провозгласи́
Imp PL,провозгласи́те
