Infinitive,прижима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прижима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прижима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прижима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прижима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прижима́юсь
2nd Sing,прижима́ешься
3rd Sing,прижима́ется
1st Pl,прижима́емся
2nd Pl,прижима́етесь
3rd Pl,прижима́ются
Past M,прижима́лся
Past F,прижима́лась
Past N,прижима́лось
Past PL,прижима́лись
Imp S,прижима́йся
Imp PL,прижима́йтесь
