Infinitive,проде́лать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проде́лавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проде́ланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проде́лав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проде́лавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проде́лаю
2nd Sing,проде́лаешь
3rd Sing,проде́лает
1st Pl,проде́лаем
2nd Pl,проде́лаете
3rd Pl,проде́лают
Past M,проде́лал
Past F,проде́лала
Past N,проде́лало
Past PL,проде́лали
Imp S,проде́лай
Imp PL,проде́лайте
