Infinitive,притворя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,притворя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,притворя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,притворя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,притворя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,притворя́юсь
2nd Sing,притворя́ешься
3rd Sing,притворя́ется
1st Pl,притворя́емся
2nd Pl,притворя́етесь
3rd Pl,притворя́ются
Past M,притворя́лся
Past F,притворя́лась
Past N,притворя́лось
Past PL,притворя́лись
Imp S,притворя́йся
Imp PL,притворя́йтесь
