Infinitive,прибы́ть
Zaliznyak Class,irreg-a/c①
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прибы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прибы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прибы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прибу́ду
2nd Sing,прибу́дешь
3rd Sing,прибу́дет
1st Pl,прибу́дем
2nd Pl,прибу́дете
3rd Pl,прибу́дут
Past M,при́был
Past F,прибыла́
Past N,при́было
Past PL,при́были
Imp S,прибу́дь
Imp PL,прибу́дьте
