Infinitive,пропове́довать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пропове́дующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пропове́довавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пропове́дуемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пропове́дуя
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,пропове́довав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,пропове́довавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,пропове́дую
2nd Sing,пропове́дуешь
3rd Sing,пропове́дует
1st Pl,пропове́дуем
2nd Pl,пропове́дуете
3rd Pl,пропове́дуют
Past M,пропове́довал
Past F,пропове́довала
Past N,пропове́довало
Past PL,пропове́довали
Imp S,пропове́дуй
Imp PL,пропове́дуйте
