Infinitive,привезти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,привёзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,привезённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,привезя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,привёзши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,привезу́
2nd Sing,привезёшь
3rd Sing,привезёт
1st Pl,привезём
2nd Pl,привезёте
3rd Pl,привезу́т
Past M,привёз
Past F,привезла́
Past N,привезло́
Past PL,привезли́
Imp S,привези́
Imp PL,привези́те
