Infinitive,приба́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приба́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приба́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приба́влюсь
2nd Sing,приба́вишься
3rd Sing,приба́вится
1st Pl,приба́вимся
2nd Pl,приба́витесь
3rd Pl,приба́вятся
Past M,приба́вился
Past F,приба́вилась
Past N,приба́вилось
Past PL,приба́вились
Imp S,приба́вься
Imp PL,приба́вьтесь
