Infinitive,признава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,признаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,признава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,признава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,признава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,признаю́сь
2nd Sing,признаёшься
3rd Sing,признаётся
1st Pl,признаёмся
2nd Pl,признаётесь
3rd Pl,признаю́тся
Past M,признава́лся
Past F,признава́лась
Past N,признава́лось
Past PL,признава́лись
Imp S,признава́йся
Imp PL,признава́йтесь
