Infinitive,проверну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проверну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,провёрнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проверну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проверну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проверну́
2nd Sing,провернёшь
3rd Sing,провернёт
1st Pl,провернём
2nd Pl,провернёте
3rd Pl,проверну́т
Past M,проверну́л
Past F,проверну́ла
Past N,проверну́ло
Past PL,проверну́ли
Imp S,проверни́
Imp PL,проверни́те
