Infinitive,проясни́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проясни́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проясни́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проясню́сь
2nd Sing,проясни́шься
3rd Sing,проясни́тся
1st Pl,проясни́мся
2nd Pl,проясни́тесь
3rd Pl,проясня́тся
Past M,проясни́лся
Past F,проясни́лась
Past N,проясни́лось
Past PL,проясни́лись
Imp S,проясни́сь
Imp PL,проясни́тесь
