Infinitive,просиде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просиде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проси́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просиде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,просиде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просижу́
2nd Sing,просиди́шь
3rd Sing,просиди́т
1st Pl,просиди́м
2nd Pl,просиди́те
3rd Pl,просидя́т
Past M,просиде́л
Past F,просиде́ла
Past N,просиде́ло
Past PL,просиде́ли
Imp S,просиди́
Imp PL,просиди́те
