Infinitive,предпоче́сть
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предпочтённый
PART:0:Participle Type,passive
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предпочтя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,предпочётши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,предпочту́
2nd Sing,предпочтёшь
3rd Sing,предпочтёт
1st Pl,предпочтём
2nd Pl,предпочтёте
3rd Pl,предпочту́т
Past M,предпочёл
Past F,предпочла́
Past N,предпочло́
Past PL,предпочли́
Imp S,предпочти́
Imp PL,предпочти́те
