Infinitive,прики́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прики́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прики́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прики́нусь
2nd Sing,прики́нешься
3rd Sing,прики́нется
1st Pl,прики́немся
2nd Pl,прики́нетесь
3rd Pl,прики́нутся
Past M,прики́нулся
Past F,прики́нулась
Past N,прики́нулось
Past PL,прики́нулись
Imp S,прики́нься
Imp PL,прики́ньтесь
