Infinitive,прикати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прикати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прика́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прикати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикачу́
2nd Sing,прика́тишь
3rd Sing,прика́тит
1st Pl,прика́тим
2nd Pl,прика́тите
3rd Pl,прика́тят
Past M,прикати́л
Past F,прикати́ла
Past N,прикати́ло
Past PL,прикати́ли
Imp S,прикати́
Imp PL,прикати́те
