Infinitive,приходи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приходя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приходи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приходя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приходи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прихожу́сь
2nd Sing,прихо́дишься
3rd Sing,прихо́дится
1st Pl,прихо́димся
2nd Pl,прихо́дитесь
3rd Pl,прихо́дятся
Past M,приходи́лся
Past F,приходи́лась
Past N,приходи́лось
Past PL,приходи́лись
Imp S,приходи́сь
Imp PL,приходи́тесь
