Infinitive,прибли́зиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прибли́зившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прибли́зившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прибли́жусь
2nd Sing,прибли́зишься
3rd Sing,прибли́зится
1st Pl,прибли́зимся
2nd Pl,прибли́зитесь
3rd Pl,прибли́зятся
Past M,прибли́зился
Past F,прибли́зилась
Past N,прибли́зилось
Past PL,прибли́зились
Imp S,прибли́зься
Imp PL,прибли́зьтесь
