Infinitive,приня́ться
Zaliznyak Class,14c/b*
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приня́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приня́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приму́сь
2nd Sing,при́мешься
3rd Sing,при́мется
1st Pl,при́мемся
2nd Pl,при́метесь
3rd Pl,при́мутся
Past M,принялся́
Past F,приняла́сь
Past N,приняло́сь
Past PL,приняли́сь
Imp S,прими́сь
Imp PL,прими́тесь
