Infinitive,примости́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,примости́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,примости́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,примощу́сь
2nd Sing,примости́шься
3rd Sing,примости́тся
1st Pl,примости́мся
2nd Pl,примости́тесь
3rd Pl,примостя́тся
Past M,примости́лся
Past F,примости́лась
Past N,примости́лось
Past PL,примости́лись
Imp S,примости́сь
Imp PL,примости́тесь
