Infinitive,прице́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прице́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прице́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прице́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прице́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прице́ливаюсь
2nd Sing,прице́ливаешься
3rd Sing,прице́ливается
1st Pl,прице́ливаемся
2nd Pl,прице́ливаетесь
3rd Pl,прице́ливаются
Past M,прице́ливался
Past F,прице́ливалась
Past N,прице́ливалось
Past PL,прице́ливались
Imp S,прице́ливайся
Imp PL,прице́ливайтесь
