Infinitive,прошипе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прошипе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прошипе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прошипе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прошиплю́
2nd Sing,прошипи́шь
3rd Sing,прошипи́т
1st Pl,прошипи́м
2nd Pl,прошипи́те
3rd Pl,прошипя́т
Past M,прошипе́л
Past F,прошипе́ла
Past N,прошипе́ло
Past PL,прошипе́ли
Imp S,прошипи́
Imp PL,прошипи́те
