Infinitive,прини́кнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прини́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,прини́кнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прини́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прини́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прини́кну
2nd Sing,прини́кнешь
3rd Sing,прини́кнет
1st Pl,прини́кнем
2nd Pl,прини́кнете
3rd Pl,прини́кнут
Past M,прини́к
Past F,прини́кла
Past N,прини́кло
Past PL,прини́кли
Imp S,прини́кни
Imp PL,прини́кните
