Infinitive,предпи́сывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предпи́сывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предпи́сывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предпи́сываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предпи́сывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,предпи́сывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,предпи́сывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,предпи́сываю
2nd Sing,предпи́сываешь
3rd Sing,предпи́сывает
1st Pl,предпи́сываем
2nd Pl,предпи́сываете
3rd Pl,предпи́сывают
Past M,предпи́сывал
Past F,предпи́сывала
Past N,предпи́сывало
Past PL,предпи́сывали
Imp S,предпи́сывай
Imp PL,предпи́сывайте
