Infinitive,проща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проща́юсь
2nd Sing,проща́ешься
3rd Sing,проща́ется
1st Pl,проща́емся
2nd Pl,проща́етесь
3rd Pl,проща́ются
Past M,проща́лся
Past F,проща́лась
Past N,проща́лось
Past PL,проща́лись
Imp S,проща́йся
Imp PL,проща́йтесь
