Infinitive,проче́сть
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прочтённый
PART:0:Participle Type,passive
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прочтя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прочётши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прочту́
2nd Sing,прочтёшь
3rd Sing,прочтёт
1st Pl,прочтём
2nd Pl,прочтёте
3rd Pl,прочту́т
Past M,прочёл
Past F,прочла́
Past N,прочло́
Past PL,прочли́
Imp S,прочти́
Imp PL,прочти́те
