Infinitive,прикрепи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прикрепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикреплённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикрепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прикрепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикреплю́
2nd Sing,прикрепи́шь
3rd Sing,прикрепи́т
1st Pl,прикрепи́м
2nd Pl,прикрепи́те
3rd Pl,прикрепя́т
Past M,прикрепи́л
Past F,прикрепи́ла
Past N,прикрепи́ло
Past PL,прикрепи́ли
Imp S,прикрепи́
Imp PL,прикрепи́те
