Infinitive,прикрепля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прикрепля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикрепля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикрепля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прикрепля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,прикрепля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,прикрепля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,прикрепля́ю
2nd Sing,прикрепля́ешь
3rd Sing,прикрепля́ет
1st Pl,прикрепля́ем
2nd Pl,прикрепля́ете
3rd Pl,прикрепля́ют
Past M,прикрепля́л
Past F,прикрепля́ла
Past N,прикрепля́ло
Past PL,прикрепля́ли
Imp S,прикрепля́й
Imp PL,прикрепля́йте
