Infinitive,продви́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,продви́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,продви́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,продви́нусь
2nd Sing,продви́нешься
3rd Sing,продви́нется
1st Pl,продви́немся
2nd Pl,продви́нетесь
3rd Pl,продви́нутся
Past M,продви́нулся
Past F,продви́нулась
Past N,продви́нулось
Past PL,продви́нулись
Imp S,продви́нься
Imp PL,продви́ньтесь
