Infinitive,провозглаша́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,провозглаша́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,провозглаша́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,провозглаша́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,провозглаша́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,провозглаша́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,провозглаша́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,провозглаша́ю
2nd Sing,провозглаша́ешь
3rd Sing,провозглаша́ет
1st Pl,провозглаша́ем
2nd Pl,провозглаша́ете
3rd Pl,провозглаша́ют
Past M,провозглаша́л
Past F,провозглаша́ла
Past N,провозглаша́ло
Past PL,провозглаша́ли
Imp S,провозглаша́й
Imp PL,провозглаша́йте
