Infinitive,пролеза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пролеза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пролеза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пролеза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пролеза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пролеза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пролеза́ю
2nd Sing,пролеза́ешь
3rd Sing,пролеза́ет
1st Pl,пролеза́ем
2nd Pl,пролеза́ете
3rd Pl,пролеза́ют
Past M,пролеза́л
Past F,пролеза́ла
Past N,пролеза́ло
Past PL,пролеза́ли
Imp S,пролеза́й
Imp PL,пролеза́йте
