Infinitive,придуши́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,придуши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приду́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,придуши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,придуши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,придушу́
2nd Sing,приду́шишь
3rd Sing,приду́шит
1st Pl,приду́шим
2nd Pl,приду́шите
3rd Pl,приду́шат
Past M,придуши́л
Past F,придуши́ла
Past N,придуши́ло
Past PL,придуши́ли
Imp S,придуши́
Imp PL,придуши́те
