Infinitive,продави́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,продави́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прода́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,продави́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,продави́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,продавлю́
2nd Sing,прода́вишь
3rd Sing,прода́вит
1st Pl,прода́вим
2nd Pl,прода́вите
3rd Pl,прода́вят
Past M,продави́л
Past F,продави́ла
Past N,продави́ло
Past PL,продави́ли
Imp S,продави́
Imp PL,продави́те
