Infinitive,преми́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,преми́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,преми́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,преми́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,преми́ну
2nd Sing,преми́нешь
3rd Sing,преми́нет
1st Pl,преми́нем
2nd Pl,преми́нете
3rd Pl,преми́нут
Past M,преми́нул
Past F,преми́нула
Past N,преми́нуло
Past PL,преми́нули
Imp S,—
Imp PL,—
