Infinitive,пригова́ривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пригова́ривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригова́ривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пригова́риваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пригова́ривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,пригова́ривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,пригова́ривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,пригова́риваю
2nd Sing,пригова́риваешь
3rd Sing,пригова́ривает
1st Pl,пригова́риваем
2nd Pl,пригова́риваете
3rd Pl,пригова́ривают
Past M,пригова́ривал
Past F,пригова́ривала
Past N,пригова́ривало
Past PL,пригова́ривали
Imp S,пригова́ривай
Imp PL,пригова́ривайте
