Infinitive,приобрести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приобре́тший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приобретённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приобретя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приобре́тши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приобрету́
2nd Sing,приобретёшь
3rd Sing,приобретёт
1st Pl,приобретём
2nd Pl,приобретёте
3rd Pl,приобрету́т
Past M,приобрёл
Past F,приобрела́
Past N,приобрело́
Past PL,приобрели́
Imp S,приобрети́
Imp PL,приобрети́те
