Infinitive,прозрева́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прозрева́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прозрева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прозрева́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прозрева́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прозрева́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прозрева́ю
2nd Sing,прозрева́ешь
3rd Sing,прозрева́ет
1st Pl,прозрева́ем
2nd Pl,прозрева́ете
3rd Pl,прозрева́ют
Past M,прозрева́л
Past F,прозрева́ла
Past N,прозрева́ло
Past PL,прозрева́ли
Imp S,прозрева́й
Imp PL,прозрева́йте
