Infinitive,пролете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пролете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пролете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пролете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пролечу́
2nd Sing,пролети́шь
3rd Sing,пролети́т
1st Pl,пролети́м
2nd Pl,пролети́те
3rd Pl,пролетя́т
Past M,пролете́л
Past F,пролете́ла
Past N,пролете́ло
Past PL,пролете́ли
Imp S,пролети́
Imp PL,пролети́те
