Infinitive,пристреля́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пристреля́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пристре́лянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пристреля́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пристреля́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пристреля́ю
2nd Sing,пристреля́ешь
3rd Sing,пристреля́ет
1st Pl,пристреля́ем
2nd Pl,пристреля́ете
3rd Pl,пристреля́ют
Past M,пристреля́л
Past F,пристреля́ла
Past N,пристреля́ло
Past PL,пристреля́ли
Imp S,пристреля́й
Imp PL,пристреля́йте
