Infinitive,пристыди́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пристыди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пристыжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пристыди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пристыди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пристыжу́
2nd Sing,пристыди́шь
3rd Sing,пристыди́т
1st Pl,пристыди́м
2nd Pl,пристыди́те
3rd Pl,пристыдя́т
Past M,пристыди́л
Past F,пристыди́ла
Past N,пристыди́ло
Past PL,пристыди́ли
Imp S,пристыди́
Imp PL,пристыди́те
