Infinitive,прибе́гнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прибе́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,прибе́гнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прибе́гнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прибе́гши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прибе́гну
2nd Sing,прибе́гнешь
3rd Sing,прибе́гнет
1st Pl,прибе́гнем
2nd Pl,прибе́гнете
3rd Pl,прибе́гнут
Past M,прибе́г
Past F,прибе́гла
Past N,прибе́гло
Past PL,прибе́гли
Imp S,прибе́гни
Imp PL,прибе́гните
