Infinitive,пробуди́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пробуди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробуди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пробужу́сь
2nd Sing,пробу́дишься
3rd Sing,пробу́дится
1st Pl,пробу́димся
2nd Pl,пробу́дитесь
3rd Pl,пробу́дятся
Past M,пробуди́лся
Past F,пробуди́лась
Past N,пробуди́лось
Past PL,пробуди́лись
Imp S,пробуди́сь
Imp PL,пробуди́тесь
