Infinitive,предусмотре́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предусмотре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предусмо́тренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предусмотре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,предусмотре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предусмотрю́
2nd Sing,предусмо́тришь
3rd Sing,предусмо́трит
1st Pl,предусмо́трим
2nd Pl,предусмо́трите
3rd Pl,предусмо́трят
Past M,предусмотре́л
Past F,предусмотре́ла
Past N,предусмотре́ло
Past PL,предусмотре́ли
Imp S,предусмотри́
Imp PL,предусмотри́те
