Infinitive,прилепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прилепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приле́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прилепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прилепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прилеплю́
2nd Sing,приле́пишь
3rd Sing,приле́пит
1st Pl,приле́пим
2nd Pl,приле́пите
3rd Pl,приле́пят
Past M,прилепи́л
Past F,прилепи́ла
Past N,прилепи́ло
Past PL,прилепи́ли
Imp S,прилепи́
Imp PL,прилепи́те
