Infinitive,припере́ться
Zaliznyak Class,9b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,припёршийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,припёршись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,припру́сь
2nd Sing,припрёшься
3rd Sing,припрётся
1st Pl,припрёмся
2nd Pl,припрётесь
3rd Pl,припру́тся
Past M,припёрся
Past F,припёрлась
Past N,припёрлось
Past PL,припёрлись
Imp S,припри́сь
Imp PL,припри́тесь
