Infinitive,продли́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,продли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,продлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,продли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,продли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,продлю́
2nd Sing,продли́шь
3rd Sing,продли́т
1st Pl,продли́м
2nd Pl,продли́те
3rd Pl,продля́т
Past M,продли́л
Past F,продли́ла
Past N,продли́ло
Past PL,продли́ли
Imp S,продли́
Imp PL,продли́те
