Infinitive,просигна́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просигна́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просигна́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просигна́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,просигна́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просигна́лю
2nd Sing,просигна́лишь
3rd Sing,просигна́лит
1st Pl,просигна́лим
2nd Pl,просигна́лите
3rd Pl,просигна́лят
Past M,просигна́лил
Past F,просигна́лила
Past N,просигна́лило
Past PL,просигна́лили
Imp S,просигна́ль
Imp PL,просигна́льте
