Infinitive,просма́триваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,просма́тривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,просма́тривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просма́триваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,просма́тривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просма́триваюсь
2nd Sing,просма́триваешься
3rd Sing,просма́тривается
1st Pl,просма́триваемся
2nd Pl,просма́триваетесь
3rd Pl,просма́триваются
Past M,просма́тривался
Past F,просма́тривалась
Past N,просма́тривалось
Past PL,просма́тривались
Imp S,просма́тривайся
Imp PL,просма́тривайтесь
