Infinitive,препода́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,препода́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,препо́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,препода́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,препода́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,препода́м
2nd Sing,препода́шь
3rd Sing,препода́ст
1st Pl,преподади́м
2nd Pl,преподади́те
3rd Pl,преподаду́т
Past M,препо́дал
Past F,преподала́
Past N,препо́дало
Past PL,препо́дали
Imp S,препода́й
Imp PL,препода́йте
