Infinitive,приговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приговорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приговори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приговори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приговорю́
2nd Sing,приговори́шь
3rd Sing,приговори́т
1st Pl,приговори́м
2nd Pl,приговори́те
3rd Pl,приговоря́т
Past M,приговори́л
Past F,приговори́ла
Past N,приговори́ло
Past PL,приговори́ли
Imp S,приговори́
Imp PL,приговори́те
