Infinitive,приболе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,приболе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приболе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,приболе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,приболе́ю
2nd Sing,приболе́ешь
3rd Sing,приболе́ет
1st Pl,приболе́ем
2nd Pl,приболе́ете
3rd Pl,приболе́ют
Past M,приболе́л
Past F,приболе́ла
Past N,приболе́ло
Past PL,приболе́ли
Imp S,приболе́й
Imp PL,приболе́йте
