Infinitive,проигнори́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проигнори́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проигнори́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проигнори́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проигнори́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проигнори́рую
2nd Sing,проигнори́руешь
3rd Sing,проигнори́рует
1st Pl,проигнори́руем
2nd Pl,проигнори́руете
3rd Pl,проигнори́руют
Past M,проигнори́ровал
Past F,проигнори́ровала
Past N,проигнори́ровало
Past PL,проигнори́ровали
Imp S,проигнори́руй
Imp PL,проигнори́руйте
