Infinitive,приволо́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приволо́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приволо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,приволочённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,приволо́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приволоку́
2nd Sing,приволочёшь
3rd Sing,приволочёт
1st Pl,приволочём
2nd Pl,приволочёте
3rd Pl,приволоку́т
Past M,приволо́к
Past F,приволокла́
Past N,приволокло́
Past PL,приволокли́
Imp S,приволоки́
Imp PL,приволоки́те
