Infinitive,продро́гнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,продро́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,продро́гши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,продро́гну
2nd Sing,продро́гнешь
3rd Sing,продро́гнет
1st Pl,продро́гнем
2nd Pl,продро́гнете
3rd Pl,продро́гнут
Past M,продро́г
Past F,продро́гла
Past N,продро́гло
Past PL,продро́гли
Imp S,продро́гни
Imp PL,продро́гните
