Infinitive,пригляну́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пригляну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригляну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пригляну́сь
2nd Sing,пригля́нешься
3rd Sing,пригля́нется
1st Pl,пригля́немся
2nd Pl,пригля́нетесь
3rd Pl,пригля́нутся
Past M,пригляну́лся
Past F,пригляну́лась
Past N,пригляну́лось
Past PL,пригляну́лись
Imp S,пригляни́сь
Imp PL,пригляни́тесь
