Infinitive,пробива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пробива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пробива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пробива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пробива́юсь
2nd Sing,пробива́ешься
3rd Sing,пробива́ется
1st Pl,пробива́емся
2nd Pl,пробива́етесь
3rd Pl,пробива́ются
Past M,пробива́лся
Past F,пробива́лась
Past N,пробива́лось
Past PL,пробива́лись
Imp S,пробива́йся
Imp PL,пробива́йтесь
