Infinitive,прогуля́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прогуля́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогуля́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прогуля́юсь
2nd Sing,прогуля́ешься
3rd Sing,прогуля́ется
1st Pl,прогуля́емся
2nd Pl,прогуля́етесь
3rd Pl,прогуля́ются
Past M,прогуля́лся
Past F,прогуля́лась
Past N,прогуля́лось
Past PL,прогуля́лись
Imp S,прогуля́йся
Imp PL,прогуля́йтесь
