Infinitive,примеря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,примеря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,примеря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,примеря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,примеря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,примеря́юсь
2nd Sing,примеря́ешься
3rd Sing,примеря́ется
1st Pl,примеря́емся
2nd Pl,примеря́етесь
3rd Pl,примеря́ются
Past M,примеря́лся
Past F,примеря́лась
Past N,примеря́лось
Past PL,примеря́лись
Imp S,примеря́йся
Imp PL,примеря́йтесь
