Infinitive,пригрози́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пригрози́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригрози́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пригрози́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пригрожу́
2nd Sing,пригрози́шь
3rd Sing,пригрози́т
1st Pl,пригрози́м
2nd Pl,пригрози́те
3rd Pl,пригрозя́т
Past M,пригрози́л
Past F,пригрози́ла
Past N,пригрози́ло
Past PL,пригрози́ли
Imp S,пригрози́
Imp PL,пригрози́те
