Infinitive,призаду́маться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,призаду́мавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,призаду́мавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,призаду́маюсь
2nd Sing,призаду́маешься
3rd Sing,призаду́мается
1st Pl,призаду́маемся
2nd Pl,призаду́маетесь
3rd Pl,призаду́маются
Past M,призаду́мался
Past F,призаду́малась
Past N,призаду́малось
Past PL,призаду́мались
Imp S,призаду́майся
Imp PL,призаду́майтесь
