Infinitive,процвета́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,процвета́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,процвета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,процвета́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,процвета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,процвета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,процвета́ю
2nd Sing,процвета́ешь
3rd Sing,процвета́ет
1st Pl,процвета́ем
2nd Pl,процвета́ете
3rd Pl,процвета́ют
Past M,процвета́л
Past F,процвета́ла
Past N,процвета́ло
Past PL,процвета́ли
Imp S,процвета́й
Imp PL,процвета́йте
