Infinitive,проспа́ть
Zaliznyak Class,5b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проспа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́спанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проспа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проспа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просплю́
2nd Sing,проспи́шь
3rd Sing,проспи́т
1st Pl,проспи́м
2nd Pl,проспи́те
3rd Pl,проспя́т
Past M,проспа́л
Past F,проспала́
Past N,проспа́ло
Past PL,проспа́ли
Imp S,проспи́
Imp PL,проспи́те
