Infinitive,проступа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,проступа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проступа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проступа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проступа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,проступа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,проступа́ю
2nd Sing,проступа́ешь
3rd Sing,проступа́ет
1st Pl,проступа́ем
2nd Pl,проступа́ете
3rd Pl,проступа́ют
Past M,проступа́л
Past F,проступа́ла
Past N,проступа́ло
Past PL,проступа́ли
Imp S,проступа́й
Imp PL,проступа́йте
