Infinitive,прокрути́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прокрути́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прокру́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прокрути́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прокрути́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прокручу́
2nd Sing,прокру́тишь
3rd Sing,прокру́тит
1st Pl,прокру́тим
2nd Pl,прокру́тите
3rd Pl,прокру́тят
Past M,прокрути́л
Past F,прокрути́ла
Past N,прокрути́ло
Past PL,прокрути́ли
Imp S,прокрути́
Imp PL,прокрути́те
